,sent_clean
416,scrooge muttered with an unusual catching in his voice that it was a pimple and begged the ghost to lead him where he would
417,you recollect the way inquired the spirit
418,remember it cried scrooge with fervour i could walk it blindfold
419,strange to have forgotten it for so many years observed the ghost
420,let us go on
421,they walked along the road scrooge recognising every gate and post and tree until a little market town appeared in the distance with its bridge its church and winding river
422,some shaggy ponies now were seen trotting towards them with boys upon their backs who called to other boys in country gigs and carts driven by farmers
423,all these boys were in great spirits and shouted to each other until the broad fields were so full of merry music that the crisp air laughed to hear it
424,these are but shadows of the things that have been said the ghost
425,they have no consciousness of us
426,the jocund travellers came on and as they came scrooge knew and named them every one
427,why was he rejoiced beyond all bounds to see them
428,why did his cold eye glisten and his heart leap up as they went past
429,why was he filled with gladness when he heard them give each other merry christmas as they parted at cross roads and bye ways for their several homes
430,what was merry christmas to scrooge
431,out upon merry christmas
432,what good had it ever done to him
433,the school is not quite deserted said the ghost
434,a solitary child neglected by his friends is left there still
435,scrooge said he knew it
436,and he sobbed
437,they left the high road by a well remembered lane and soon approached a mansion of dull red brick with a little weathercock surmounted cupola on the roof and a bell hanging in it
438,it was a large house but one of broken fortunes for the spacious offices were little used their walls were damp and mossy their windows broken and their gates decayed
439,fowls clucked and strutted in the stables and the coach houses and sheds were over run with grass
440,nor was it more retentive of its ancient state within for entering the dreary hall and glancing through the open doors of many rooms they found them poorly furnished cold and vast
441,there was an earthy savour in the air a chilly bareness in the place which associated itself somehow with too much getting up by candle light and not too much to eat
442,they went the ghost and scrooge across the hall to a door at the back of the house
443,it opened before them and disclosed a long bare melancholy room made barer still by lines of plain deal forms and desks
444,at one of these a lonely boy was reading near a feeble fire and scrooge sat down upon a form and wept to see his poor forgotten self as he used to be
445,not a latent echo in the house not a squeak and scuffle from the mice behind the panelling not a drip from the half thawed water spout in the dull yard behind not a sigh among the leafless boughs of one despondent poplar not the idle swinging of an empty store house door no not a clicking in the fire but fell upon the heart of scrooge with a softening influence and gave a freer passage to his tears
446,the spirit touched him on the arm and pointed to his younger self intent upon his reading
447,suddenly a man in foreign garments wonderfully real and distinct to look at stood outside the window with an axe stuck in his belt and leading by the bridle an ass laden with wood
448,why it is ali baba
449,scrooge exclaimed in ecstasy
450,it is dear old honest ali baba yes yes i know one christmas time when yonder solitary child was left here all alone he did come for the first time just like that poor boy and valentine said scrooge and his wild brother orson there they go and what is his name who was put down in his drawers asleep at the gate of damascus do not you see him and the sultan own groom turned upside down by the genii there he is upon his head serve him right i glad of it what business had he to be married to the princess
451,to hear scrooge expending all the earnestness of his nature on such subjects in a most extraordinary voice between laughing and crying and to see his heightened and excited face would have been a surprise to his business friends in the city indeed
452,there is the parrot cried scrooge
453,green body and yellow tail with a thing like a lettuce growing out of the top of his head there he is poor robin crusoe he called him when he came home again after sailing round the island poor robin crusoe where have you been robin crusoe the man thought he was dreaming but he was not it was the parrot you know there goes friday running for his life to the little creek halloa hoop halloo
454,then with a rapidity of transition very foreign to his usual character he said in pity for his former self poor boy and cried again
455,i wish scrooge muttered putting his hand in his pocket and looking about him after drying his eyes with his cuff but it is too late now
456,what is the matter asked the spirit
457,nothing said scrooge
458,nothing there was a boy singing a christmas carol at my door last night i should like to have given him something that is all
459,the ghost smiled thoughtfully and waved its hand saying as it did so let us see another christmas
460,scrooge own former self grew larger at the words and the room became a little darker and more dirty
461,the panels shrunk the windows cracked fragments of plaster fell out of the ceiling and the naked laths were shown instead but how all this was brought about scrooge knew no more than you do
462,he only knew that it was quite correct that everything had happened so that there he was alone again when all the other boys had gone home for the jolly holidays
463,he was not reading now but walking up and down despairingly
464,scrooge looked at the ghost and with a mournful shaking of his head glanced anxiously towards the door
465,it opened and a little girl much younger than the boy came darting in and putting her arms about his neck and often kissing him addressed him as her dear dear brother
466,i have come to bring you home dear brother said the child clapping her tiny hands and bending down to laugh
467,to bring you home home home
468,home little fan returned the boy
469,yes said the child brimful of glee
470,home for good and all home for ever and ever father is so much kinder than he used to be that home own like heaven he spoke so gently to me one dear night when i was going to bed that i was not afraid to ask him once more if you might come home and he said yes you should and sent me in a coach to bring you and you are to be a man said the child opening her eyes and are never to come back here but first we are to be together all the christmas long and have the merriest time in all the world
471,you are quite a woman little fan exclaimed the boy
472,she clapped her hands and laughed and tried to touch his head but being too little laughed again and stood on tiptoe to embrace him
473,then she began to drag him in her childish eagerness towards the door and he nothing loth to go accompanied her
474,a terrible voice in the hall cried bring down master scrooge own box there and in the hall appeared the schoolmaster himself who glared on master scrooge with a ferocious condescension and threw him into a dreadful state of mind by shaking hands with him
475,he then conveyed him and his sister into the veriest old well of a shivering best parlour that ever was seen where the maps upon the wall and the celestial and terrestrial globes in the windows were waxy with cold
476,here he produced a decanter of curiously light wine and a block of curiously heavy cake and administered instalments of those dainties to the young people at the same time sending out a meagre servant to offer a glass of something to the postboy who answered that he thanked the gentleman but if it was the same tap as he had tasted before he had rather not
477,master scrooge own trunk being by this time tied on to the top of the chaise the children bade the schoolmaster good bye right willingly and getting into it drove gaily down the garden sweep the quick wheels dashing the hoar frost and snow from off the dark leaves of the evergreens like spray
478,always a delicate creature whom a breath might have withered said the ghost
479,but she had a large heart
480,so she had cried scrooge
481,you are right i will not gainsay it spirit god forbid
482,she died a woman said the ghost and had as i think children
483,one child scrooge returned
484,true said the ghost
485,your nephew
486,scrooge seemed uneasy in his mind and answered briefly yes
487,although they had but that moment left the school behind them they were now in the busy thoroughfares of a city where shadowy passengers passed and repassed where shadowy carts and coaches battled for the way and all the strife and tumult of a real city were
488,it was made plain enough by the dressing of the shops that here too it was christmas time again but it was evening and the streets were lighted up
489,the ghost stopped at a certain warehouse door and asked scrooge if he knew it
490,know it said scrooge
491,was i apprenticed here
492,they went in
493,at sight of an old gentleman in a welsh wig sitting behind such a high desk that if he had been two inches taller he must have knocked his head against the ceiling scrooge cried in great excitement
494,why it is old fezziwig bless his heart it is fezziwig alive again
495,old fezziwig laid down his pen and looked up at the clock which pointed to the hour of seven
496,he rubbed his hands adjusted his capacious waistcoat laughed all over himself from his shoes to his organ of benevolence and called out in a comfortable oily rich fat jovial voice
497,yo ho there ebenezer dick
498,scrooge own former self now grown a young man came briskly in accompanied by his fellow prentice
499,dick wilkins to be sure said scrooge to the ghost
500,bless me yes there he is he was very much attached to me was dick poor dick dear dear
501,yo ho my boys said fezziwig
502,no more work to night christmas eve dick christmas ebenezer let us have the shutters up cried old fezziwig with a sharp clap of his hands before a man can say jack robinson
503,you would not believe how those two fellows went at it
504,they charged into the street with the shutters one two three had them up in their places four five six barred them and pinned them seven eight nine and came back before you could have got to twelve panting like race horses
505,hilli ho cried old fezziwig skipping down from the high desk with wonderful agility
506,clear away my lads and let us have lots of room here hilli ho dick chirrup ebenezer
507,clear away
508,there was nothing they would not have cleared away or could not have cleared away with old fezziwig looking on
509,it was done in a minute
510,every movable was packed off as if it were dismissed from public life for evermore the floor was swept and watered the lamps were trimmed fuel was heaped upon the fire and the warehouse was as snug and warm and dry and bright a ball room as you would desire to see upon a winter own night
511,in came a fiddler with a music book and went up to the lofty desk and made an orchestra of it and tuned like fifty stomach aches
512,in came mrs fezziwig one vast substantial smile
513,in came the three miss fezziwigs beaming and lovable
514,in came the six young followers whose hearts they broke
515,in came all the young men and women employed in the business
516,in came the housemaid with her cousin the baker
517,in came the cook with her brother own particular friend the milkman
518,in came the boy from over the way who was suspected of not having board enough from his master trying to hide himself behind the girl from next door but one who was proved to have had her ears pulled by her mistress
519,in they all came one after another some shyly some boldly some gracefully some awkwardly some pushing some pulling in they all came anyhow and everyhow
520,away they all went twenty couple at once hands half round and back again the other way down the middle and up again round and round in various stages of affectionate grouping old top couple always turning up in the wrong place new top couple starting off again as soon as they got there all top couples at last and not a bottom one to help them
521,when this result was brought about old fezziwig clapping his hands to stop the dance cried out well done and the fiddler plunged his hot face into a pot of porter especially provided for that purpose
522,but scorning rest upon his reappearance he instantly began again though there were no dancers yet as if the other fiddler had been carried home exhausted on a shutter and he were a bran new man resolved to beat him out of sight or perish
523,there were more dances and there were forfeits and more dances and there was cake and there was negus and there was a great piece of cold roast and there was a great piece of cold boiled and there were mince pies and plenty of beer
524,but the great effect of the evening came after the roast and boiled when the fiddler an artful dog mind the sort of man who knew his business better than you or i could have told it him struck up sir roger de coverley
525,then old fezziwig stood out to dance with mrs fezziwig
526,top couple too with a good stiff piece of work cut out for them three or four and twenty pair of partners people who were not to be trifled with people who would dance and had no notion of walking
527,but if they had been twice as many ah four times old fezziwig would have been a match for them and so would mrs fezziwig
528,as to her she was worthy to be his partner in every sense of the term
529,if that is not high praise tell me higher and i use it
530,a positive light appeared to issue from fezziwig own calves
531,they shone in every part of the dance like moons
532,you could not have predicted at any given time what would have become of them next
533,and when old fezziwig and mrs fezziwig had gone all through the dance advance and retire both hands to your partner bow and curtsey corkscrew thread the needle and back again to your place fezziwig cut cut so deftly that he appeared to wink with his legs and came upon his feet again without a stagger
534,when the clock struck eleven this domestic ball broke up
535,mr and mrs fezziwig took their stations one on either side of the door and shaking hands with every person individually as he or she went out wished him or her a merry christmas
536,when everybody had retired but the two prentices they did the same to them and thus the cheerful voices died away and the lads were left to their beds which were under a counter in the back shop
537,during the whole of this time scrooge had acted like a man out of his wits
538,his heart and soul were in the scene and with his former self
539,he corroborated everything remembered everything enjoyed everything and underwent the strangest agitation
540,it was not until now when the bright faces of his former self and dick were turned from them that he remembered the ghost and became conscious that it was looking full upon him while the light upon its head burnt very clear
541,a small matter said the ghost to make these silly folks so full of gratitude
542,small echoed scrooge
543,the spirit signed to him to listen to the two apprentices who were pouring out their hearts in praise of fezziwig and when he had done so said
544,why is it not he has spent but a few pounds of your mortal money three or four perhaps is that so much that he deserves this praise
545,it is not that said scrooge heated by the remark and speaking unconsciously like his former not his latter self
546,it is not that spirit he has the power to render us happy or unhappy to make our service light or burdensome a pleasure or a toil say that his power lies in words and looks in things so slight and insignificant that it is impossible to add and count them up what then the happiness he gives is quite as great as if it cost a fortune
547,he felt the spirit own glance and stopped
548,what is the matter asked the ghost
549,nothing particular said scrooge
550,something i think the ghost insisted
551,no said scrooge no i should like to be able to say a word or two to my clerk just now that is all
552,his former self turned down the lamps as he gave utterance to the wish and scrooge and the ghost again stood side by side in the open air
553,my time grows short observed the spirit
554,quick
555,this was not addressed to scrooge or to any one whom he could see but it produced an immediate effect
556,for again scrooge saw himself
557,he was older now a man in the prime of life
558,his face had not the harsh and rigid lines of later years but it had begun to wear the signs of care and avarice
559,there was an eager greedy restless motion in the eye which showed the passion that had taken root and where the shadow of the growing tree would fall
560,he was not alone but sat by the side of a fair young girl in a mourning dress in whose eyes there were tears which sparkled in the light that shone out of the ghost of christmas past
561,it matters little she said softly
562,to you very little another idol has displaced me and if it can cheer and comfort you in time to come as i would have tried to do i have no just because to grieve
563,what idol has displaced you he rejoined
564,a golden one
565,this is the even handed dealing of the world he said
566,there is nothing on which it is so hard as poverty and there is nothing it professes to condemn with such severity as the pursuit of wealth
567,you fear the world too much she answered gently
568,all your other hopes have merged into the hope of being beyond the chance of its sordid reproach i have seen your nobler aspirations fall off one by one until the master passion gain engrosses you have i not
569,what then he retorted
570,even if i have grown so much wiser what then i am not changed towards you
571,she shook her head
572,am i
573,our contract is an old one it was made when we were both poor and content to be so until in good season we could improve our worldly fortune by our patient industry you are changed when it was made you were another man
574,i was a boy he said impatiently
575,your own feeling tells you that you were not what you are she returned
576,i am that which promised happiness when we were one in heart is fraught with misery now that we are two how often and how keenly i have thought of this i will not say it is enough that i have thought of it and can release you
577,have i ever sought release
578,in words no never
579,in what then
580,in a changed nature in an altered spirit in another atmosphere of life another hope as its great end in everything that made my love of any worth or value in your sight if this had never been between us said the girl looking mildly but with steadiness upon him tell me would you seek me out and try to win me now ah no
581,he seemed to yield to the justice of this supposition in spite of himself
582,but he said with a struggle you think not
583,i would gladly think otherwise if i could she answered heaven knows when i have learned a truth like this i know how strong and irresistible it must be but if you were free to day to morrow yesterday can even i believe that you would choose a dowerless girl you who in your very confidence with her weigh everything by gain or choosing her if for a moment you were false enough to your one guiding principle to do so do i not know that your repentance and regret would surely follow i do and i release you with a full heart for the love of him you once were
584,he was about to speak but with her head turned from him she resumed
585,you may the memory of what is past half makes me hope you will have pain in this a very very brief time and you will dismiss the recollection of it gladly as an unprofitable dream from which it happened well that you awoke may you be happy in the life you have chosen
586,she left him and they parted
587,spirit said scrooge show me no more conduct me home why do you delight to torture me
588,one shadow more exclaimed the ghost
589,no more cried scrooge
590,no more i do not wish to see it show me no more
591,but the relentless ghost pinioned him in both his arms and forced him to observe what happened next
592,they were in another scene and place a room not very large or handsome but full of comfort
593,near to the winter fire sat a beautiful young girl so like that last that scrooge believed it was the same until he saw her now a comely matron sitting opposite her daughter
594,the noise in this room was perfectly tumultuous for there were more children there than scrooge in his agitated state of mind could count and unlike the celebrated herd in the poem they were not forty children conducting themselves like one but every child was conducting itself like forty
595,the consequences were uproarious beyond belief but no one seemed to care on the contrary the mother and daughter laughed heartily and enjoyed it very much and the latter soon beginning to mingle in the sports got pillaged by the young brigands most ruthlessly
596,what would i not have given to be one of them
597,though i never could have been so rude no no
598,i would not for the wealth of all the world have crushed that braided hair and torn it down and for the precious little shoe i would not have plucked it off god bless my soul to save my life
599,as to measuring her waist in sport as they did bold young brood i could not have done it i should have expected my arm to have grown round it for a punishment and never come straight again
600,and yet i should have dearly liked i own to have touched her lips to have questioned her that she might have opened them to have looked upon the lashes of her downcast eyes and never raised a blush to have let loose waves of hair an inch of which would be a keepsake beyond price in short i should have liked i do confess to have had the lightest licence of a child and yet to have been man enough to know its value
601,but now a knocking at the door was heard and such a rush immediately ensued that she with laughing face and plundered dress was borne towards it the centre of a flushed and boisterous group just in time to greet the father who came home attended by a man laden with christmas toys and presents
602,then the shouting and the struggling and the onslaught that was made on the defenceless porter
603,the scaling him with chairs for ladders to dive into his pockets despoil him of brown paper parcels hold on tight by his cravat hug him round his neck pommel his back and kick his legs in irrepressible affection
604,the shouts of wonder and delight with which the development of every package was received
605,the terrible announcement that the baby had been taken in the act of putting a doll own frying pan into his mouth and was more than suspected of having swallowed a fictitious turkey glued on a wooden platter
606,the immense relief of finding this a false alarm
607,the joy and gratitude and ecstasy
608,they are all indescribable alike
609,it is enough that by degrees the children and their emotions got out of the parlour and by one stair at a time up to the top of the house where they went to bed and so subsided
610,and now scrooge looked on more attentively than ever when the master of the house having his daughter leaning fondly on him sat down with her and her mother at his own fireside and when he thought that such another creature quite as graceful and as full of promise might have called him father and been a spring time in the haggard winter of his life his sight grew very dim indeed
611,belle said the husband turning to his wife with a smile i saw an old friend of yours this afternoon
612,who was it
613,guess
614,how can i tut do not i know she added in the same breath laughing as he laughed
615,mr scrooge
616,mr scrooge it was i passed his office window and as it was not shut up and he had a candle inside i could scarcely help seeing him his partner lies upon the point of death i hear and there he sat alone quite alone in the world i do believe
617,spirit said scrooge in a broken voice remove me from this place
618,i told you these were shadows of the things that have been said the ghost
619,that they are what they are do not blame me
620,remove me
621,scrooge exclaimed i cannot bear it
622,he turned upon the ghost and seeing that it looked upon him with a face in which in some strange way there were fragments of all the faces it had shown him wrestled with it
623,leave me take me back haunt me no longer
624,in the struggle if that can be called a struggle in which the ghost with no visible resistance on its own part was undisturbed by any effort of its adversary scrooge observed that its light was burning high and bright and dimly connecting that with its influence over him he seized the extinguisher cap and by a sudden action pressed it down upon its head
625,the spirit dropped beneath it so that the extinguisher covered its whole form but though scrooge pressed it down with all his force he could not hide the light which streamed from under it in an unbroken flood upon the ground
626,he was conscious of being exhausted and overcome by an irresistible drowsiness and further of being in his own bedroom
627,he gave the cap a parting squeeze in which his hand relaxed and had barely time to reel to bed before he sank into a heavy sleep
628,the second of the three spirits
629,awaking in the middle of a prodigiously tough snore and sitting up in bed to get his thoughts together scrooge had no occasion to be told that the bell was again upon the stroke of one
630,he felt that he was restored to consciousness in the right nick of time for the especial purpose of holding a conference with the second messenger despatched to him through jacob marley own intervention
631,but finding that he turned uncomfortably cold when he began to wonder which of his curtains this new spectre would draw back he put them every one aside with his own hands and lying down again established a sharp look out all round the bed
632,for he wished to challenge the spirit on the moment of its appearance and did not wish to be taken by surprise and made nervous
633,gentlemen of the free and easy sort who plume themselves on being acquainted with a move or two and being usually equal to the time of day express the wide range of their capacity for adventure by observing that they are good for anything from pitch and toss to manslaughter between which opposite extremes no doubt there lies a tolerably wide and comprehensive range of subjects
634,without venturing for scrooge quite as hardily as this i do not mind calling on you to believe that he was ready for a good broad field of strange appearances and that nothing between a baby and rhinoceros would have astonished him very much
635,now being prepared for almost anything he was not by any means prepared for nothing and consequently when the bell struck one and no shape appeared he was taken with a violent fit of trembling
636,five minutes ten minutes a quarter of an hour went by yet nothing came
637,all this time he lay upon his bed the very core and centre of a blaze of ruddy light which streamed upon it when the clock proclaimed the hour and which being only light was more alarming than a dozen ghosts as he was powerless to make out what it meant or would be at and was sometimes apprehensive that he might be at that very moment an interesting case of spontaneous combustion without having the consolation of knowing it
638,at last however he began to think as you or i would have thought at first for it is always the person not in the predicament who knows what ought to have been done in it and would unquestionably have done it too at last i say he began to think that the source and secret of this ghostly light might be in the adjoining room from whence on further tracing it it seemed to shine
639,this idea taking full possession of his mind he got up softly and shuffled in his slippers to the door
640,the moment scrooge own hand was on the lock a strange voice called him by his name and bade him enter
641,he obeyed
642,it was his own room
643,there was no doubt about that
644,but it had undergone a surprising transformation
645,the walls and ceiling were so hung with living green that it looked a perfect grove from every part of which bright gleaming berries glistened
646,the crisp leaves of holly mistletoe and ivy reflected back the light as if so many little mirrors had been scattered there and such a mighty blaze went roaring up the chimney as that dull petrification of a hearth had never known in scrooge own time or marley own or for many and many a winter season gone
647,heaped up on the floor to form a kind of throne were turkeys geese game poultry brawn great joints of meat sucking pigs long wreaths of sausages mince pies plum puddings barrels of oysters red hot chestnuts cherry cheeked apples juicy oranges luscious pears immense twelfth cakes and seething bowls of punch that made the chamber dim with their delicious steam
648,in easy state upon this couch there sat a jolly giant glorious to see who bore a glowing torch in shape not unlike plenty own horn and held it up high up to she would its light on scrooge as he came peeping round the door
649,come in exclaimed the ghost
650,come in and know me better man
651,scrooge entered timidly and hung his head before this spirit
652,he was not the dogged scrooge he had been and though the spirit own eyes were clear and kind he did not like to meet them
653,i am the ghost of christmas present said the spirit
654,look upon me
655,scrooge reverently did so
656,it was clothed in one simple green robe or mantle bordered with white fur
657,this garment hung so loosely on the figure that its capacious breast was bare as if disdaining to be warded or concealed by any artifice
658,its feet observable beneath the ample folds of the garment were also bare and on its head it wore no other covering than a holly wreath set here and there with shining icicles
659,its dark brown curls were long and free free as its genial face its sparkling eye its open hand its cheery voice its unconstrained demeanour and its joyful air
660,girded round its middle was an antique scabbard but no sword was in it and the ancient sheath was eaten up with rust
661,you have never seen the like of me before exclaimed the spirit
662,never scrooge made answer to it
663,have never walked forth with the younger members of my family meaning for i am very young my elder brothers born in these later years pursued the phantom
664,i do not think i have said scrooge
665,i am afraid i have not have you had many brothers spirit
666,more than eighteen hundred said the ghost
667,a tremendous family to provide for muttered scrooge
668,the ghost of christmas present rose
669,spirit said scrooge submissively conduct me where you will i went forth last night on compulsion and i learnt a lesson which is working now to night if you have aught to teach me let me profit by it
670,touch my robe
671,scrooge did as he was told and held it fast
672,holly mistletoe red berries ivy turkeys geese game poultry brawn meat pigs sausages oysters pies puddings fruit and punch all vanished instantly
673,so did the room the fire the ruddy glow the hour of night and they stood in the city streets on christmas morning where for the weather was severe the people made a rough but brisk and not unpleasant kind of music in scraping the snow from the pavement in front of their dwellings and from the tops of their houses whence it was mad delight to the boys to see it come plumping down into the road below and splitting into artificial little snow storms
674,the house fronts looked black enough and the windows blacker contrasting with the smooth white sheet of snow upon the roofs and with the dirtier snow upon the ground which last deposit had been ploughed up in deep furrows by the heavy wheels of carts and waggons furrows that crossed and re crossed each other hundreds of times where the great streets branched off and made intricate channels hard to trace in the thick yellow mud and icy water
675,the sky was gloomy and the shortest streets were choked up with a dingy mist half thawed half frozen whose heavier particles descended in a shower of sooty atoms as if all the chimneys in great britain had by one consent caught fire and were blazing away to their dear hearts content
676,there was nothing very cheerful in the climate or the town and yet was there an air of cheerfulness abroad that the clearest summer air and brightest summer sun might have endeavoured to diffuse in vain
677,for the people who were shovelling away on the housetops were jovial and full of glee calling out to one another from the parapets and now and then exchanging a facetious snowball better natured missile far than many a wordy jest laughing heartily if it went right and not less heartily if it went wrong
678,the poulterers shops were still half open and the fruiterers were radiant in their glory
679,there were great round pot bellied baskets of chestnuts shaped like the waistcoats of jolly old gentlemen lolling at the doors and tumbling out into the street in their apoplectic opulence
680,there were ruddy brown faced broad girthed spanish onions shining in the fatness of their growth like spanish friars and winking from their shelves in wanton slyness at the girls as they went by and glanced demurely at the hung up mistletoe
681,there were pears and apples clustered high in blooming pyramids there were bunches of grapes made in the shopkeepers benevolence to dangle from conspicuous hooks that people own mouths might water gratis as they passed there were piles of filberts mossy and brown recalling in their fragrance ancient walks among the woods and pleasant shufflings ankle deep through withered leaves there were norfolk biffins squat and swarthy setting off the yellow of the oranges and lemons and in the great compactness of their juicy persons urgently entreating and beseeching to be carried home in paper bags and eaten after dinner
682,the very gold and silver fish set forth among these choice fruits in a bowl though members of a dull and stagnant blooded race appeared to know that there was something going on and to a fish went gasping round and round their little world in slow and passionless excitement
683,the grocers oh the grocers nearly closed with perhaps two shutters down or one but through those gaps such glimpses
684,it was not alone that the scales descending on the counter made a merry sound or that the twine and roller parted company so briskly or that the canisters were rattled up and down like juggling tricks or even that the blended scents of tea and coffee were so grateful to the nose or even that the raisins were so plentiful and rare the almonds so extremely white the sticks of cinnamon so long and straight the other spices so delicious the candied fruits so caked and spotted with molten sugar as to make the coldest lookers on feel faint and subsequently bilious
685,nor was it that the figs were moist and pulpy or that the french plums blushed in modest tartness from their highly decorated boxes or that everything was good to eat and in its christmas dress but the customers were all so hurried and so eager in the hopeful promise of the day that they tumbled up against each other at the door crashing their wicker baskets wildly and left their purchases upon the counter and came running back to fetch them and committed hundreds of the like mistakes in the best humour possible while the grocer and his people were so frank and fresh that the polished hearts with which they fastened their aprons behind might have been their own worn outside for general inspection and for christmas daws to peck at if they chose
686,but soon the steeples called good people all to church and chapel and away they came flocking through the streets in their best clothes and with their gayest faces
687,and at the same time there emerged from scores of bye streets lanes and nameless turnings innumerable people carrying their dinners to the bakers shops
688,the sight of these poor revellers appeared to interest the spirit very much for he stood with scrooge beside him in a baker own doorway and taking off the covers as their bearers passed sprinkled incense on their dinners from his torch
689,and it was a very uncommon kind of torch for once or twice when there were angry words between some dinner carriers who had jostled each other he she would a few drops of water on them from it and their good humour was restored directly
690,for they said it was a shame to quarrel upon christmas day
691,and so it was
692,god love it so it was
693,in time the bells ceased and the bakers were shut up and yet there was a genial shadowing forth of all these dinners and the progress of their cooking in the thawed blotch of wet above each baker own oven where the pavement smoked as if its stones were cooking too
694,is there a peculiar flavour in what you sprinkle from your torch asked scrooge
695,there is my own
696,would it apply to any kind of dinner on this day asked scrooge
697,to any kindly given to a poor one most
698,why to a poor one most asked scrooge
699,because it needs it most
700,spirit said scrooge after a moment own thought i wonder you of all the beings in the many worlds about us should desire to cramp these people own opportunities of innocent enjoyment
701,i cried the spirit
702,you would deprive them of their means of dining every seventh day often the only day on which they can be said to dine at all said scrooge
703,would not you
704,i cried the spirit
705,you seek to close these places on the seventh day said scrooge
706,and it comes to the same thing
707,i seek exclaimed the spirit
708,forgive me if i am wrong it has been done in your name or at least in that of your family said scrooge
709,there are some upon this earth of yours returned the spirit who lay claim to know us and who do their deeds of passion pride ill will hatred envy bigotry and selfishness in our name who are as strange to us and all our kith and kin as if they had never lived remember that and charge their doings on themselves not us
710,scrooge promised that he would and they went on invisible as they had been before into the suburbs of the town
711,it was a remarkable quality of the ghost which scrooge had observed at the baker own that notwithstanding his gigantic size he could accommodate himself to any place with ease and that he stood beneath a low roof quite as gracefully and like a supernatural creature as it was possible he could have done in any lofty hall
712,and perhaps it was the pleasure the good spirit had in showing off this power of his or else it was his own kind generous hearty nature and his sympathy with all poor men that led him straight to scrooge own clerk own for there he went and took scrooge with him holding to his robe and on the threshold of the door the spirit smiled and stopped to bless bob cratchit own dwelling with the sprinkling of his torch
713,think of that
714,bob had but fifteen bob a week himself he pocketed on saturdays but fifteen copies of his christian name and yet the ghost of christmas present blessed his four roomed house
715,then up rose mrs cratchit cratchit own wife dressed out but poorly in a twice turned gown but brave in ribbons which are cheap and make a goodly show for sixpence and she laid the cloth assisted by belinda cratchit second of her daughters also brave in ribbons while master peter cratchit plunged a fork into the saucepan of potatoes and getting the corners of his monstrous shirt collar bob own private property conferred upon his son and heir in honour of the day into his mouth rejoiced to find himself so gallantly attired and yearned to show his linen in the fashionable parks
716,and now two smaller cratchits boy and girl came tearing in screaming that outside the baker own they had smelt the goose and known it for their own and basking in luxurious thoughts of sage and onion these young cratchits danced about the table and exalted master peter cratchit to the skies while he not proud although his collars nearly choked him blew the fire until the slow potatoes bubbling up knocked loudly at the saucepan lid to be let out and peeled
717,what has ever got your precious father then said mrs cratchit
718,and your brother tiny tim and martha warnt as late last christmas day by half an hour
719,here is martha mother said a girl appearing as she spoke
720,here is martha mother cried the two young cratchits
721,hurrah there is such a goose martha
722,why bless your heart alive my dear how late you are said mrs cratchit kissing her a dozen times and taking off her shawl and bonnet for her with officious zeal
723,we would a deal of work to finish up last night replied the girl and had to clear away this morning mother
724,well never mind so long as you are come said mrs cratchit
725,sit ye down before the fire my dear and have a warm lord bless ye
726,no no there is father coming cried the two young cratchits who were everywhere at once
727,hide martha hide
728,so martha hid herself and in came little bob the father with at least three feet of comforter exclusive of the fringe hanging down before him and his threadbare clothes darned up and brushed to look seasonable and tiny tim upon his shoulder
729,alas for tiny tim he bore a little crutch and had his limbs supported by an iron frame
730,why where is our martha cried bob cratchit looking round
731,not coming said mrs cratchit
732,not coming said bob with a sudden declension in his high spirits for he had been tim own blood horse all the way from church and had come home rampant
733,not coming upon christmas day
734,martha did not like to see him disappointed if it were only in joke so she came out prematurely from behind the closet door and ran into his arms while the two young cratchits hustled tiny tim and bore him off into the wash house that he might hear the pudding singing in the copper
735,and how did little tim behave asked mrs cratchit when she had rallied bob on his credulity and bob had hugged his daughter to his heart own content
736,as good as gold said bob and better somehow he gets thoughtful sitting by himself so much and thinks the strangest things you ever heard he told me coming home that he hoped the people saw him in the church because he was a cripple and it might be pleasant to them to remember upon christmas day who made lame beggars walk and blind men see
737,bob own voice was tremulous when he told them this and trembled more when he said that tiny tim was growing strong and hearty
738,his active little crutch was heard upon the floor and back came tiny tim before another word was spoken escorted by his brother and sister to his stool before the fire and while bob turning up his cuffs as if poor fellow they were capable of being made more shabby compounded some hot mixture in a jug with gin and lemons and stirred it round and round and put it on the hob to simmer master peter and the two ubiquitous young cratchits went to fetch the goose with which they soon returned in high procession
739,such a bustle ensued that you might have thought a goose the rarest of all birds a feathered phenomenon to which a black swan was a matter of course and in truth it was something very like it in that house
740,mrs cratchit made the gravy ready beforehand in a little saucepan hissing hot master peter mashed the potatoes with incredible vigour miss belinda sweetened up the apple sauce martha dusted the hot plates bob took tiny tim beside him in a tiny corner at the table the two young cratchits set chairs for everybody not forgetting themselves and mounting guard upon their posts crammed spoons into their mouths lest they should shriek for goose before their turn came to be helped
741,at last the dishes were set on and grace was said
742,it was succeeded by a breathless pause as mrs cratchit looking slowly all along the carving knife prepared to plunge it in the breast but when she did and when the long expected gush of stuffing issued forth one murmur of delight arose all round the board and even tiny tim excited by the two young cratchits beat on the table with the handle of his knife and feebly cried hurrah
743,there never was such a goose
744,bob said he did not believe there ever was such a goose cooked
745,its tenderness and flavour size and cheapness were the themes of universal admiration
